epoch,train_loss,train_grad_global,train_grad_avg,train_grad_max,eval_loss,eval_top1,eval_top5,eval_advloss,eval_advtop1,eval_advtop5,lr
0,6.812386358765771,0.9999993710066203,0.008493817323947677,0.07128233948259426,6.91182625,0.19,0.8899999999809265,0,0,0,1.09e-05
1,6.656886730453284,nan,nan,0.06159553791639759,6.74153125,0.6299999999809265,2.4199999999809263,0,0,0,2.08e-05
2,6.440498512711742,nan,nan,0.08110688870205439,6.6041125,0.9259999999237061,3.5520000001525878,0,0,0,3.07e-05
3,6.190579219211301,nan,nan,0.09981119294139407,6.43513875,1.511999999847412,5.277999999084472,0,0,0,4.06e-05
4,5.933308534484973,nan,nan,0.09714089239166557,6.19140625,2.4940000009918215,7.740000000915527,0,0,0,5.05e-05
5,5.650508356704224,nan,nan,0.08796727472691418,5.84541625,4.2179999996948245,12.312000006103515,0,0,0,6.0400000000000004e-05
6,5.3294278906403685,nan,nan,0.07971748637316896,5.418465,6.972000000915528,18.69200000793457,0,0,0,7.03e-05
7,4.9950980762783574,0.999999872285971,0.00888499134708979,0.07263937162951552,5.00768625,10.402000001831055,25.534000004882813,0,0,0,8.02e-05
8,4.643421623632491,nan,nan,0.06899804191784464,4.56740375,15.018000007324218,33.47600000244141,0,0,0,9.010000000000001e-05
9,4.3156051799643045,nan,nan,0.062411372450818355,4.067801875,21.498000003051757,43.09400001220703,0,0,0,9.964516155915151e-05
10,4.031041226322226,nan,nan,0.05652363245099259,3.57535625,28.608000001220702,52.570000002441404,0,0,0,9.95707641563493e-05
11,3.8268790344159,nan,nan,nan,3.12233875,35.958000017089844,61.03199999267578,0,0,0,9.948932851320614e-05
12,3.577165318240555,nan,nan,0.048631027226241755,2.728406875,42.4539999975586,67.56800000244141,0,0,0,9.940086748935406e-05
13,3.4253004514913763,nan,nan,nan,2.413650625,47.978000018310546,72.52200001464844,0,0,0,9.930539505381425e-05
14,3.3042348522267084,nan,nan,nan,2.1779475,52.25800000854492,76.2540000024414,0,0,0,9.9202926282791e-05
15,3.1588143700127786,nan,nan,nan,2.00001625,55.586000007324216,78.9139999951172,0,0,0,9.909347735729111e-05
16,3.0697702241839644,0.9999998963708214,0.015213477205516827,0.040720208114732225,1.8611928125,58.47400001953125,81.02599999023437,0,0,0,9.897706556056872e-05
17,2.9557754962945535,nan,nan,nan,1.74832625,60.812000009765626,82.67199998535156,0,0,0,9.885370927539598e-05
18,2.9033906126289155,nan,nan,nan,1.6547915625,62.722000002441405,83.95800003173828,0,0,0,9.872342798116033e-05
19,2.8140020142737434,nan,nan,nan,1.5769528125,64.34199999511719,84.99600000488282,0,0,0,9.858624225078841e-05
20,2.7626434273952296,nan,nan,nan,1.5138746875,65.69000001953125,85.918,0,0,0,9.844217374749732e-05
21,2.698367080909552,nan,nan,0.05032136058695406,1.4619003125,66.62800002197265,86.62800000244141,0,0,0,9.829124522137387e-05
22,2.6491856761782957,nan,nan,nan,1.4198915625,67.49399999511719,87.21599999511719,0,0,0,9.813348050578192e-05
23,2.596660318610956,nan,nan,0.058486641625867045,1.3842496875,68.21999999511719,87.60600001708984,0,0,0,9.796890451359894e-05
24,2.56766744993097,nan,nan,nan,1.356455625,68.77799999267579,87.99800001708985,0,0,0,9.779754323328192e-05
25,2.5073194891142903,nan,nan,0.07520584796639465,1.3331565625,69.27599999023437,88.38399999023437,0,0,0,9.76194237247635e-05
26,2.4848122045004684,nan,nan,nan,1.3166653125,69.64599998779296,88.60200001220703,0,0,0,9.74345741151789e-05
27,2.462207427937731,nan,nan,nan,1.3033196875,70.00000001220702,88.82200001220703,0,0,0,9.724302359442434e-05
28,2.406266623644901,nan,nan,nan,1.2932615625,70.25199999023438,89.00600001220702,0,0,0,9.704480241054755e-05
29,2.3860795656554132,nan,nan,0.1278097837192597,1.2859521875,70.45200000976563,89.16600001220704,0,0,0,9.683994186497131e-05
30,2.3738816221364494,nan,nan,nan,1.2816596875,70.72000000732422,89.29599998779297,0,0,0,9.662847430755062e-05
31,2.3343191900603966,nan,nan,nan,1.2782475,70.96400003417969,89.42000000976563,0,0,0,9.641043313146417e-05
32,2.294249910435421,nan,nan,nan,1.277563125,71.11200001220703,89.50800003417969,0,0,0,9.618585276794129e-05
